"신재생에너지현황별(1)",신재생에너지현황별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"신재생에너지현황별(1)",신재생에너지현황별(2),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"에너지생산량 (toe)",소계,1977148,29072,28588,20048,23919,36166,11602,12695,11881,129476,137654,106437,238139,333308,424059,242091,147598,44414,2787935,34320,34238,26509,29368,48389,13876,16048,13585,190808,210436,156278,350196,477060,561252,342474,211296,71802,4155969,51484,49896,37300,41477,62948,20156,27195,18643,310544,302731,240147,531764,693752,849985,497060,315377,105509,5317227,55298,58882,44631,49014,70029,23997,32384,20576,384178,393308,304063,663622,905410,1112350,659785,394225,145474
"발전량 (MWh)",소계,9208099,129634,131748,91650,109025,167856,52543,58006,54583,596141,642181,492633,1112940,1560590,1985162,1131678,685247,206480,12996018,152607,157675,121503,133964,224970,62825,73414,62394,881263,982592,724754,1637390,2234336,2628123,1601659,982009,334541,19297854,227866,227442,169862,188044,290921,90593,123674,85366,1424397,1408163,1109875,2478947,3240493,3969762,2316120,1456699,489629,24717623,244804,268850,203414,222103,323404,107759,147698,94225,1764822,1831240,1407403,3094979,4231407,5198466,3076962,1823756,676330
"누적 보급용량 (kW)",소계,8099140,114637,112397,79988,94053,148710,45362,49030,46109,551105,618092,445935,949953,1375056,1671012,977015,613904,206781,11767747,124604,131131,103440,117639,197291,56188,65577,55261,850782,893026,693876,1538102,2021022,2330453,1406921,863978,318457,17322703,187110,186930,144471,163890,242983,77167,103982,72828,1288753,1311678,1012650,2201374,2903800,3637727,2035301,1281609,470450,21199351,206386,231316,178537,192138,279081,98584,127561,82339,1558219,1597886,1227443,2573951,3691749,4297536,2710825,1563167,582632
"신규 보급용량 (kW)",소계,2367202,30458,24275,18875,20845,37766,8707,9863,10197,192080,261991,135907,254621,450544,389273,290268,168393,63140,3789044,14333,20058,23453,23612,50491,11775,16032,11933,303139,274549,249517,603561,676845,683157,454862,258674,113053,4658157,18153,25542,23491,27991,27801,7874,21337,12035,291397,363506,261764,589626,805539,1207677,546282,300626,127515,3915086,19026,44421,33618,26158,34574,20156,23304,9593,257818,288857,210557,382875,796184,678055,689561,288873,111457
"용도별 누적 보급용량 (kW)",소계,8099140,114637,112397,79988,94053,148710,45362,49030,46109,551105,618092,445935,949953,1375056,1671012,977015,613904,206781,11767747,124604,131131,103440,117639,197291,56188,65577,55261,850782,893026,693876,1538102,2021022,2330453,1406921,863978,318457,17322703,187110,186930,144471,163890,242983,77167,103982,72828,1288753,1311678,1012650,2201374,2903800,3637727,2035301,1281609,470450,21199351,206386,231316,178537,192138,279081,98584,127561,82339,1558219,1597886,1227443,2573951,3691749,4297536,2710825,1563167,582632
"용도별 누적 보급용량 (kW)",가정용,387067,46849,9483,9163,11536,8171,6915,8550,3394,66622,20541,34001,27623,28225,27922,21338,48570,8165,562709,50325,12914,11088,16388,10206,9455,12301,4562,90749,35793,56220,50528,45463,41404,37727,65826,11759,1544774,96035,38215,27198,35657,27382,22954,27843,10940,245712,97773,124344,139889,143118,162505,130933,176981,37296,1713937,102906,43225,30033,41448,32904,26821,30591,12045,279910,114194,137925,151358,151651,174583,144656,195539,44147
"용도별 누적 보급용량 (kW)",공공시설,220810,17985,9102,8027,14294,3743,7839,4086,4224,26536,14988,17353,15740,10279,19692,20741,18086,8096,265939,21661,10713,9702,16163,4274,9887,4891,4689,33797,18127,21621,18475,12047,21010,22924,26255,9704,324808,23658,12949,13958,21321,5968,10609,6345,5252,36407,21056,24216,24404,19752,27284,27832,32854,10943,416503,27599,14424,18360,26749,7433,18431,7067,6033,46325,27528,29818,31302,26779,33523,37844,44456,12832
"용도별 누적 보급용량 (kW)",교육시설,118403,9415,7427,9464,7349,4352,4288,4189,4012,24703,4347,6986,6019,2344,4676,6981,8263,3587,141303,11122,8558,10360,8853,4660,4741,5034,4203,29827,5685,9406,6797,2655,5271,9057,10537,4537,184913,13025,12146,11910,11462,5280,5424,5560,4778,45868,6655,11170,8291,4059,7493,12702,13535,5556,210651,13506,13833,13949,14387,5776,5544,5316,4872,53076,7371,11774,9332,5970,7801,12746,18272,7126
"용도별 누적 보급용량 (kW)",사회복지시설,41588,1316,767,801,1229,1470,181,336,1139,4264,2085,10304,2020,1829,2791,1992,7834,1230,45059,1513,775,837,1244,1566,212,336,1139,4608,2240,10459,3493,1887,2851,2164,8004,1732,57278,1965,890,1094,1446,1550,319,339,1247,5996,2669,10933,5292,2718,3776,3668,11576,1801,64436,2169,1122,1123,1750,1571,422,455,1272,6917,3051,11223,6566,3332,4578,4861,11913,2112
"용도별 누적 보급용량 (kW)",산업시설,16774,229,624,648,744,944,512,600,220,3242,1021,2482,1379,333,1916,901,801,176,19827,367,643,648,773,1130,582,600,269,4709,1204,2561,1647,348,2091,1066,1011,176,47522,771,3150,2189,1084,2226,925,934,473,9221,2858,4289,4324,2424,4582,3986,3430,656,67265,690,3427,3489,1549,2242,1782,983,503,13594,2883,9267,5937,3629,5594,5370,5604,722
"용도별 누적 보급용량 (kW)",상업시설,10260,3464,83,100,1047,252,413,5,-,971,678,218,360,498,961,490,471,250,11302,3492,162,100,1047,261,438,5,-,1100,820,291,571,543,1069,490,637,276,179944,10830,7493,2826,5558,6338,2843,3218,980,24395,12722,10198,13706,13518,23342,15174,20969,5835,212978,12732,8579,3003,7171,7565,4311,3667,1077,34757,14374,12010,15000,15139,26360,16558,23790,6886
"용도별 누적 보급용량 (kW)",발전사업용,7258762,32165,84338,51129,56994,127868,24106,30916,32948,418707,572004,367632,893146,1327898,1606005,921901,526741,184264,10673133,32846,96770,70047,72123,173232,29765,41959,40094,679710,826692,585453,1452590,1954271,2249497,1330724,748390,288971,14910942,36987,110771,83660,86053,192160,32825,59124,48725,911204,1163643,816224,1998902,2712482,3399217,1835326,1017155,406482,18338405,41825,144861,106292,95675,217849,39739,77477,55727,1102780,1418582,996016,2328968,3464849,4024215,2466483,1250391,506676
"용도별 누적 보급용량 (kW)",기타,45476,3213,574,656,860,1910,1109,347,170,6060,2429,6958,3667,3651,7050,2673,3138,1013,48475,3277,597,656,1049,1960,1109,450,305,6282,2466,7865,4001,3810,7260,2768,3317,1304,72522,3840,1316,1637,1310,2079,1268,620,434,9951,4303,11277,6566,5728,9526,5680,5109,1881,175176,4960,1846,2287,3408,3741,1535,2004,811,20861,9902,19410,25488,20399,20881,22307,13202,2133
"용량별 누적 보급용량 (kW)",소계,8099140,114637,112397,79988,94053,148710,45362,49030,46109,551105,618092,445935,949953,1375056,1671012,977015,613904,206781,11767747,124604,131131,103440,117639,197291,56188,65577,55261,850782,893026,693876,1538102,2021022,2330453,1406921,863978,318457,17322703,187110,186930,144471,163890,242983,77167,103982,72828,1288753,1311678,1012650,2201374,2903800,3637727,2035301,1281609,470450,21199351,206386,231316,178537,192138,279081,98584,127561,82339,1558219,1597886,1227443,2573951,3691749,4297536,2710825,1563167,582632
"용량별 누적 보급용량 (kW)",1kW 이하,10084,7228,98,175,179,77,160,79,1,644,118,2,359,353,398,6,204,5,12288,7228,263,344,367,286,588,104,1,938,118,2,391,431,510,59,650,9,31333,23978,409,346,480,425,1054,105,1,1458,138,5,395,697,535,85,1214,11,39678,26968,593,629,984,425,2216,253,4,3628,143,15,416,966,535,83,1808,11
"용량별 누적 보급용량 (kW)",1~3kW 이하,304537,16159,7940,7964,7717,5687,3777,4534,2681,51544,17285,37733,24220,25581,24602,16587,42669,7856,389577,18718,10618,8933,10267,7025,5521,7723,3398,63367,23714,45032,33865,33166,31775,21028,55029,10397,1221898,51297,35189,23598,27784,21763,18522,22932,8883,198776,78001,102138,108787,108184,127215,99562,157183,32086,1391694,54828,39595,25782,32066,26177,22862,25974,9705,227715,91891,114599,125798,121362,144040,117331,174754,37214
"용량별 누적 보급용량 (kW)",3~10kW 이하,45679,2962,1750,385,2082,1492,597,1808,297,5386,3428,4085,3768,2340,2897,4053,6740,1610,54172,3229,2023,391,2706,1562,625,1873,328,5990,3981,5003,4367,2513,3356,5517,7741,2967,280528,10886,8604,4541,7424,8486,3656,4953,1786,45334,18271,17632,23140,25628,31398,27726,29903,11161,319536,12147,9409,4945,9099,9234,4323,5541,2211,52493,22667,19792,25668,29125,34824,30800,33753,13505
"용량별 누적 보급용량 (kW)",10~50kW 이하,405181,20621,10062,7350,11497,12620,8237,5220,4281,57649,21203,38171,33210,72684,39588,28989,26815,6985,567535,24141,12733,10379,14290,15110,10501,6502,5135,78318,34360,61389,54396,91121,50772,47018,42612,8761,814768,28110,19948,13745,18262,19927,12675,8634,6363,107338,49144,84551,81372,125853,87237,75167,64247,12193,1034350,31149,22367,17608,22112,23548,15465,9847,7600,133080,62254,103929,110627,154912,108460,110990,85569,14832
"용량별 누적 보급용량 (kW)",50~100kW 이하,2362942,16174,11835,10997,17370,28317,9892,5842,8114,139307,161506,126317,280278,668560,469614,253228,119459,36130,3422559,19084,14471,15465,22156,35386,12018,7826,10361,221356,235481,189299,464328,977642,610469,366172,174843,46201,4886736,21463,16784,19751,23981,39300,13906,11256,12140,311459,312300,290401,721274,1410508,789385,567579,261971,63276,6170479,23233,19876,28424,26198,45447,15147,17868,13801,401940,402959,379894,887455,1700915,938427,847135,349370,72391
"용량별 누적 보급용량 (kW)",100~500kW 이하,1627091,19800,19130,23396,17771,48676,6443,13541,13520,127164,123495,73583,169826,281529,295973,194015,133902,65328,2727601,22335,26487,29924,26484,69853,8631,18554,17420,222424,195332,149268,296017,454227,519118,345954,217146,108426,3749380,20699,33531,40374,33103,82318,8479,23082,19053,287900,243444,203802,412456,662288,751322,472836,295297,159396,4472763,26322,45677,48264,38144,99455,14112,27527,20422,335506,266131,240523,483195,794292,882097,618886,344175,188037
"용량별 누적 보급용량 (kW)",500~1000kW 이하,1567717,11725,15851,12259,14405,22518,5360,6517,4644,74046,123388,70074,152119,224165,374837,270654,141640,43516,2391010,11855,18804,15444,17207,36566,7408,8510,6015,128189,209398,119956,250620,338090,541997,378234,217221,85497,3323023,12663,20632,17705,21193,37210,7978,11039,6015,179189,354312,157942,329142,435130,775764,521495,299486,136128,4156129,13726,29508,19670,23718,41241,10997,14360,7010,224874,459182,187608,406688,521932,963625,686089,350433,195466
"용량별 누적 보급용량 (kW)",1000~5000kW 이하,1417122,19968,19732,11489,23031,23799,10896,6345,12570,88165,128843,95970,243281,70283,301244,185326,130827,45352,1655457,18013,19732,16587,24161,25980,10896,9339,12605,123000,151817,123927,310829,84302,312199,218783,137087,56200,2057141,18013,25832,18438,31662,28030,10896,16836,18587,142115,217242,156180,352641,95984,461129,246695,160660,56200,2387320,18013,38290,27242,39818,28030,13464,21044,21586,163798,253832,181083,361937,100682,611787,275352,170185,61177
"용량별 누적 보급용량 (kW)",5000~10000kW 이하,217904,-,15000,5972,-,5524,-,5146,-,7200,8237,-,32830,-,102189,24157,11649,-,243268,-,15000,5972,-,5524,-,5146,-,7200,8237,-,48226,9968,102189,24157,11649,-,273204,-,15000,5972,-,5524,-,5146,-,15184,8237,-,55154,9968,117212,24157,11649,-,273204,-,15000,5972,-,5524,-,5146,-,15184,8237,-,55154,9968,117212,24157,11649,-
"용량별 누적 보급용량 (kW)",10000~20000kW 이하,140882,-,11000,-,-,-,-,-,-,-,30589,-,10063,29560,59670,-,-,-,140882,-,11000,-,-,-,-,-,-,-,30589,-,10063,29560,59670,-,-,-,282028,-,11000,-,-,-,-,-,-,-,30589,-,27060,29560,183818,-,-,-,312068,-,11000,-,-,-,-,-,-,-,30589,-,27060,59600,183818,-,-,-
"용량별 누적 보급용량 (kW)",20000kW 초과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163397,-,-,-,-,-,-,-,-,-,-,-,65000,-,98397,-,-,-,402664,-,-,-,-,-,-,-,-,-,-,-,89952,-,312712,-,-,-,642130,-,-,-,-,-,-,-,-,-,-,-,89952,197994,312712,-,41472,-
"신규 태양광 모듈 제조국별 비중 (%)",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"신규 태양광 모듈 제조국별 비중 (%)",한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"신규 태양광 모듈 제조국별 비중 (%)",중국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"신규 태양광 모듈 제조국별 비중 (%)",기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
